deck,nofGames,nOfPlayers,winRate
archers;arrows;baby-dragon;bandit;elixir-collector;golem;lightning;night-witch,130,32,0.48496
archers;arrows;baby-dragon;elixir-collector;golem;lightning;mega-minion;night-witch,495,75,0.47289
archers;arrows;baby-dragon;golem;lightning;mega-minion;mini-pekka;the-log,271,25,0.52372
archers;arrows;baby-dragon;golem;lightning;mega-minion;skeleton-army;tombstone,125,20,0.58594
archers;arrows;balloon;barbarians;fireball;giant;mega-minion;zap,130,23,0.5
archers;arrows;balloon;bats;cannon;freeze;ice-spirit;knight,124,15,0.62598
archers;arrows;balloon;bats;freeze;goblins;ice-golem;tesla,466,161,0.40192
archers;arrows;balloon;cannon;freeze;ice-spirit;knight;minions,281,12,0.5581
archers;arrows;balloon;lava-hound;lightning;mega-minion;skeleton-army;tombstone,320,47,0.50155
archers;arrows;barbarians;bomb-tower;hog-rider;ice-wizard;miner;spear-goblins,1106,468,0.45942
archers;arrows;barbarians;bowler;giant;graveyard;mega-minion;zap,1076,70,0.55653
archers;arrows;barbarians;elixir-collector;giant;goblin-gang;hog-rider;minion-horde,534,56,0.52328
archers;arrows;barbarians;fireball;furnace;mega-minion;royal-giant;zap,203,16,0.5
archers;arrows;barbarians;goblin-hut;graveyard;mortar;musketeer;valkyrie,134,13,0.4781
archers;arrows;barbarians;knight;minions;mortar;rocket;royal-giant,288,52,0.47423
archers;arrows;bats;fireball;hog-rider;ice-spirit;inferno-tower;knight,194,13,0.51269
archers;arrows;bats;freeze;graveyard;knight;mortar;skeletons,340,28,0.49125
archers;arrows;bats;freeze;graveyard;skeleton-army;tesla;valkyrie,186,17,0.52646
archers;arrows;bats;giant;goblin-gang;graveyard;skeleton-army;zap,321,79,0.50309
archers;arrows;bats;giant;goblin-gang;skeleton-army;sparky;zap,829,278,0.51743
archers;arrows;bats;giant;graveyard;mega-minion;skeleton-army;zap,285,17,0.52951
archers;arrows;bats;ice-spirit;knight;mortar;rocket;tesla,132,37,0.52222
archers;arrows;bats;ice-spirit;mini-pekka;mortar;rocket;the-log,393,29,0.52399
archers;arrows;bats;ice-spirit;mortar;rocket;the-log;valkyrie,145,39,0.48649
archers;arrows;battle-ram;mega-minion;mini-pekka;pekka;the-log;zap,149,32,0.62171
